통계분류(1),통계분류(2),서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
전체,소계,35090,35410,13555,21377,8830,14819,9071,3870,71499,80671,24735,46188,37634,48189,49712,47832,39312
성별,남자,16797,18309,7286,10594,4330,8222,4791,2173,35114,40866,13709,24171,18329,24296,24184,24033,17948
성별,여자,18293,17101,6268,10783,4500,6597,4280,1697,36385,39805,11027,22017,19305,23894,25528,23799,21363
연령,15~19세,1818,1520,702,1365,578,643,484,108,3426,3308,740,1966,2320,2052,1734,1727,1129
연령,20대,8874,9382,2525,3744,1117,2628,1752,446,12538,14685,3107,5753,6218,6366,6915,5237,8203
연령,30대,6509,7236,2631,3946,2029,3485,2305,1161,15236,17726,3977,9439,5857,8440,8411,8752,8665
연령,40대,6170,7318,2404,4367,1643,3283,1748,1192,14820,17528,5612,10339,8112,11173,10321,9911,6482
연령,50대,4822,5582,2363,4201,1904,2852,1212,570,12389,15833,6469,9646,8212,10662,11672,11768,8490
연령,60대,3686,2747,1911,2463,1019,1255,943,207,7600,7390,3130,5909,4036,5524,6409,6262,4122
연령,70세 이상,3210,1625,1019,1292,540,674,626,186,5491,4200,1701,3137,2879,3972,4251,4176,2220
직업,임금봉급근로자,17152,18318,6656,10776,4147,8611,4838,2670,36766,42676,13342,22989,19677,24444,20251,23079,20034
직업,고용원있는사업주,970,888,759,944,391,554,271,104,2408,3551,952,1967,1255,2162,2008,1598,1952
직업,고용원없는자영업자,4700,6363,1658,2835,1989,2648,1368,401,10560,12906,4512,8883,6962,9628,9067,8872,6866
직업,무급가족 종사자,584,550,364,434,154,191,45,55,762,1028,311,1304,468,872,1095,1135,505
직업,사무전문,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직업,기술생산노무,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직업,판매서비스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직업,자영업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직업,전업주부,5570,3791,2024,3262,1088,1359,1224,375,11283,10739,2987,5538,4509,5648,9446,6977,5310
직업,학생,3953,3961,1485,2203,869,997,949,226,6549,6294,1619,3712,3798,3354,4264,3071,2903
직업,무직은퇴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직업,기타,2161,1539,609,923,191,459,376,39,3170,3478,1012,1796,964,2082,3581,3100,1742
학력,초졸 이하,1485,1006,645,674,308,251,289,102,1642,1246,663,1502,1259,1941,1916,1838,1093
학력,중학교,1982,1475,561,906,456,484,236,59,3326,3285,1154,2177,2195,3085,3678,3683,1620
학력,고등학교,11501,10354,4772,8712,3706,4820,3069,1409,25976,28825,10294,19808,15383,18472,18890,18619,11955
학력,대학교이상,20122,22576,7576,11085,4359,9264,5476,2299,40555,47315,12625,22702,18797,24691,25228,23693,24644
가구원수,1인,4113,5080,1980,2485,1059,2316,1356,478,10166,9023,3019,5177,4150,5065,6536,6106,4298
가구원수,2인,7486,7285,3051,4213,2112,2668,1749,674,14409,14685,5453,10340,8667,12142,11737,11931,9265
가구원수,3인이상,23491,23045,8524,14679,5659,9835,5966,2717,46924,56963,16263,30671,24817,30983,31439,29795,25749
가구소득,100만원 미만,1697,1000,980,518,221,334,233,101,2333,1668,503,1589,1266,1638,2688,1859,1025
가구소득,100~200만원 미만,2209,1613,997,1513,554,642,596,184,4592,3810,1478,2665,2263,3388,3523,3101,2008
가구소득,200~300만원 미만,4920,4474,1630,2652,1134,1888,1216,395,10398,8325,4036,6417,4476,6099,6213,6908,4478
가구소득,300~400만원 미만,7645,7814,2923,4113,2034,3311,1984,703,13198,16816,5453,8908,7490,10054,10270,11677,7322
가구소득,400~500만원 미만,7520,7934,2354,5021,1704,3627,1743,720,15409,18442,4671,11446,9584,10090,11157,10399,9561
가구소득,500~600만원 미만,5691,6660,2584,3617,1720,3036,2338,1187,13100,16360,4327,8762,7184,9245,9444,7253,7730
가구소득,600만원 이상,5407,5915,2087,3943,1462,1981,961,580,12470,15249,4266,6401,5372,7675,6416,6635,7188
가구소득,무응답,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
